1318,2013-01-02,1,852938,4.0,
2392,2013-01-02,2,852938,4.0,
3567,2013-01-02,3,852938,19.0,
6804,2013-01-02,6,852938,3.0,
7872,2013-01-02,7,852938,2.0,
9050,2013-01-02,8,852938,2.0,
10139,2013-01-02,9,852938,5.0,
10904,2013-01-02,10,852938,3.0,
11786,2013-01-02,11,852938,2.0,
12582,2013-01-02,12,852938,3.0,
13920,2013-01-02,14,852938,2.0,
14627,2013-01-02,15,852938,3.0,
15348,2013-01-02,16,852938,3.0,
16086,2013-01-02,17,852938,2.0,
16986,2013-01-02,18,852938,12.0,
17698,2013-01-02,19,852938,1.0,
18534,2013-01-02,23,852938,1.0,
24920,2013-01-02,32,852938,1.0,
25570,2013-01-02,33,852938,9.0,
26347,2013-01-02,34,852938,8.0,
26981,2013-01-02,35,852938,1.0,
27910,2013-01-02,37,852938,7.0,
31429,2013-01-02,41,852938,1.0,
33182,2013-01-02,44,852938,12.0,
34426,2013-01-02,45,852938,42.0,
35619,2013-01-02,46,852938,86.0,
36821,2013-01-02,47,852938,23.0,
37964,2013-01-02,48,852938,17.0,
39118,2013-01-02,49,852938,4.0,
43970,2013-01-03,2,852938,8.0,
45101,2013-01-03,3,852938,9.0,
48230,2013-01-03,6,852938,5.0,
49277,2013-01-03,7,852938,1.0,
50391,2013-01-03,8,852938,3.0,
51419,2013-01-03,9,852938,2.0,
52985,2013-01-03,11,852938,4.0,
53741,2013-01-03,12,852938,4.0,
55749,2013-01-03,15,852938,6.0,
57162,2013-01-03,17,852938,6.0,
57981,2013-01-03,18,852938,4.0,
59452,2013-01-03,23,852938,4.0,
63566,2013-01-03,28,852938,1.0,
66140,2013-01-03,33,852938,2.0,
67545,2013-01-03,35,852938,6.0,
71870,2013-01-03,41,852938,4.0,
73598,2013-01-03,44,852938,19.0,
74801,2013-01-03,45,852938,25.0,
75954,2013-01-03,46,852938,14.0,
77131,2013-01-03,47,852938,15.0,
78243,2013-01-03,48,852938,8.0,
79310,2013-01-03,49,852938,4.0,
81451,2013-01-03,51,852938,1.0,
83045,2013-01-04,1,852938,5.0,
84057,2013-01-04,2,852938,2.0,
85217,2013-01-04,3,852938,3.0,
88361,2013-01-04,6,852938,5.0,
89403,2013-01-04,7,852938,10.0,
93064,2013-01-04,11,852938,1.0,
93812,2013-01-04,12,852938,3.0,
95123,2013-01-04,14,852938,3.0,
95811,2013-01-04,15,852938,4.0,
96484,2013-01-04,16,852938,1.0,
97196,2013-01-04,17,852938,3.0,
99408,2013-01-04,23,852938,1.0,
106068,2013-01-04,33,852938,4.0,
107449,2013-01-04,35,852938,3.0,
108341,2013-01-04,37,852938,3.0,
109341,2013-01-04,38,852938,1.0,
111717,2013-01-04,41,852938,1.0,
113460,2013-01-04,44,852938,3.0,
114682,2013-01-04,45,852938,27.0,
115866,2013-01-04,46,852938,21.0,
117068,2013-01-04,47,852938,8.0,
118214,2013-01-04,48,852938,9.0,
119340,2013-01-04,49,852938,3.0,
121533,2013-01-04,51,852938,1.0,
123126,2013-01-05,1,852938,2.0,
124209,2013-01-05,2,852938,3.0,
125392,2013-01-05,3,852938,9.0,
128686,2013-01-05,6,852938,6.0,
129775,2013-01-05,7,852938,1.0,
133686,2013-01-05,11,852938,4.0,
134470,2013-01-05,12,852938,1.0,
135868,2013-01-05,14,852938,2.0,
136593,2013-01-05,15,852938,3.0,
138072,2013-01-05,17,852938,1.0,
138950,2013-01-05,18,852938,2.0,
140538,2013-01-05,23,852938,1.0,
147774,2013-01-05,33,852938,1.0,
149203,2013-01-05,35,852938,3.0,
150148,2013-01-05,37,852938,1.0,
153785,2013-01-05,41,852938,2.0,
154500,2013-01-05,43,852938,3.0,
155570,2013-01-05,44,852938,11.0,
156834,2013-01-05,45,852938,30.0,
158064,2013-01-05,46,852938,26.0,
159304,2013-01-05,47,852938,17.0,
160505,2013-01-05,48,852938,20.0,
161681,2013-01-05,49,852938,1.0,
165417,2013-01-06,1,852938,1.0,
166402,2013-01-06,2,852938,3.0,
167588,2013-01-06,3,852938,11.0,
170924,2013-01-06,6,852938,8.0,
171989,2013-01-06,7,852938,1.0,
176585,2013-01-06,12,852938,4.0,
177936,2013-01-06,14,852938,8.0,
178610,2013-01-06,15,852938,3.0,
179342,2013-01-06,16,852938,1.0,
180097,2013-01-06,17,852938,3.0,
180976,2013-01-06,18,852938,6.0,
182526,2013-01-06,23,852938,5.0,
189780,2013-01-06,33,852938,7.0,
190572,2013-01-06,34,852938,2.0,
192091,2013-01-06,37,852938,1.0,
193138,2013-01-06,38,852938,5.0,
195773,2013-01-06,41,852938,3.0,
196491,2013-01-06,43,852938,3.0,
197542,2013-01-06,44,852938,18.0,
198776,2013-01-06,45,852938,39.0,
199983,2013-01-06,46,852938,48.0,
201205,2013-01-06,47,852938,26.0,
202391,2013-01-06,48,852938,22.0,
203573,2013-01-06,49,852938,12.0,
204752,2013-01-06,50,852938,2.0,
207496,2013-01-07,1,852938,3.0,
208515,2013-01-07,2,852938,3.0,
209644,2013-01-07,3,852938,3.0,
210687,2013-01-07,4,852938,5.0,
211657,2013-01-07,5,852938,1.0,
212694,2013-01-07,6,852938,1.0,
213709,2013-01-07,7,852938,1.0,
214801,2013-01-07,8,852938,1.0,
217303,2013-01-07,11,852938,3.0,
218032,2013-01-07,12,852938,1.0,
219324,2013-01-07,14,852938,2.0,
221391,2013-01-07,17,852938,7.0,
222833,2013-01-07,19,852938,1.0,
223649,2013-01-07,23,852938,2.0,
229570,2013-01-07,32,852938,1.0,
230209,2013-01-07,33,852938,4.0,
230978,2013-01-07,34,852938,8.0,
232447,2013-01-07,37,852938,1.0,
233394,2013-01-07,38,852938,2.0,
234283,2013-01-07,39,852938,5.0,
236376,2013-01-07,43,852938,1.0,
237393,2013-01-07,44,852938,11.0,
238585,2013-01-07,45,852938,26.0,
239750,2013-01-07,46,852938,14.0,
240909,2013-01-07,47,852938,1.0,
242007,2013-01-07,48,852938,22.0,
243093,2013-01-07,49,852938,4.0,
246793,2013-01-08,1,852938,2.0,
247801,2013-01-08,2,852938,2.0,
248902,2013-01-08,3,852938,3.0,
249952,2013-01-08,4,852938,6.0,
250936,2013-01-08,5,852938,3.0,
251961,2013-01-08,6,852938,4.0,
254072,2013-01-08,8,852938,1.0,
255092,2013-01-08,9,852938,2.0,
255800,2013-01-08,10,852938,1.0,
256636,2013-01-08,11,852938,1.0,
257370,2013-01-08,12,852938,5.0,
258648,2013-01-08,14,852938,3.0,
259317,2013-01-08,15,852938,2.0,
259982,2013-01-08,16,852938,1.0,
260661,2013-01-08,17,852938,3.0,
262078,2013-01-08,19,852938,1.0,
269429,2013-01-08,33,852938,1.0,
270758,2013-01-08,35,852938,1.0,
271618,2013-01-08,37,852938,1.0,
272567,2013-01-08,38,852938,2.0,
273468,2013-01-08,39,852938,6.0,
276663,2013-01-08,44,852938,8.0,
277856,2013-01-08,45,852938,17.0,
278989,2013-01-08,46,852938,8.0,
280142,2013-01-08,47,852938,4.0,
281219,2013-01-08,48,852938,7.0,
282311,2013-01-08,49,852938,4.0,
283391,2013-01-08,50,852938,4.0,
284412,2013-01-08,51,852938,1.0,
285953,2013-01-09,1,852938,3.0,
288107,2013-01-09,3,852938,7.0,
291214,2013-01-09,6,852938,3.0,
292241,2013-01-09,7,852938,4.0,
293352,2013-01-09,8,852938,1.0,
295841,2013-01-09,11,852938,1.0,
298457,2013-01-09,15,852938,1.0,
299147,2013-01-09,16,852938,1.0,
299840,2013-01-09,17,852938,8.0,
308388,2013-01-09,33,852938,5.0,
310594,2013-01-09,37,852938,3.0,
311604,2013-01-09,38,852938,3.0,
315558,2013-01-09,44,852938,3.0,
316772,2013-01-09,45,852938,17.0,
317923,2013-01-09,46,852938,17.0,
319120,2013-01-09,47,852938,12.0,
320209,2013-01-09,48,852938,8.0,
321277,2013-01-09,49,852938,3.0,
322369,2013-01-09,50,852938,3.0,
323436,2013-01-09,51,852938,2.0,
324952,2013-01-10,1,852938,1.0,
327036,2013-01-10,3,852938,5.0,
330055,2013-01-10,6,852938,1.0,
331080,2013-01-10,7,852938,2.0,
332161,2013-01-10,8,852938,1.0,
333153,2013-01-10,9,852938,2.0,
334635,2013-01-10,11,852938,4.0,
336644,2013-01-10,14,852938,2.0,
337295,2013-01-10,15,852938,1.0,
338620,2013-01-10,17,852938,2.0,
339413,2013-01-10,18,852938,3.0,
341760,2013-01-10,24,852938,1.0,
347209,2013-01-10,33,852938,4.0,
347933,2013-01-10,34,852938,5.0,
348486,2013-01-10,35,852938,2.0,
349342,2013-01-10,37,852938,4.0,
350284,2013-01-10,38,852938,4.0,
351146,2013-01-10,39,852938,3.0,
354156,2013-01-10,44,852938,11.0,
355329,2013-01-10,45,852938,17.0,
356437,2013-01-10,46,852938,13.0,
357578,2013-01-10,47,852938,5.0,
358663,2013-01-10,48,852938,6.0,
